"Bombay Sweets & Bakery LLC
","Amman St, Al Nahda",Dubai,04-2398901,234872,/bombay-sweets-bakery-llc-68527.html
"Bon Appetit
",Sh zayed road,Dubai,050-8684110,27425,/bon-appetit-68467.html
"Bon Food LLC
",Madinat Zayed Shopping Complex,Abu Dhabi,04-3438311,72253,/bon-food-llc-107877.html
"Bonfood Restaurant
","Grand Shopping Mall, Al Quoz",Dubai,02-6339497,42776,/bonfood-restaurant-150961.html
"Bonna Annee
",Salam Street,Abu Dhabi,04-3380807,52203,/bonna-annee-175651.html
"Bonsai Japanese Restaurant
",Sh Tahnoon Rd,Abu Dhabi,02-4912128,14831,/bonsai-japanese-restaurant-125513.html
"Bord Eau
","Shangri La, Al Maqta",Abu Dhabi,02-4434807,60939,/bord-eau-175735.html
"Bottega
","Sofitel Dubai, The Palm",Dubai,02-5098888,34541,/bottega-175635.html
Name,Location,City,Phone,P.O BOX,Companylink
"Brunello
","Kempenski Hotel, The Palm",Dubai,04-4442501,49463,/brunello-175808.html
"Brunswick Sports Club
",Mall Of The Emirates,Dubai,056-4040685,44514,/brunswick-sports-club-175809.html
Name,Location,City,Phone,P.O BOX,Companylink
"Cafe Berlin Restaurant
","Grand Cinema Bldg, Al Buhaira Corniche",Sharjah,06-5564564,25024,/cafe-berlin-restaurant-146792.html
"Cafe D Alsace
",Yas Marina,Abu Dhabi,02-4963412,38541,/cafe-d-alsace-168557.html
"Cafe Diego
",Al Khubeirah,Abu Dhabi,02-6772344,33228,/cafe-diego-175682.html
"Cafe Du Roi LLC
",TCA,Abu Dhabi,02-6816367,42757,/cafe-du-roi-llc-147167.html
"Cafe Julie
",JLT,Dubai,04-3649477,1955,/cafe-julie-147105.html
Name,Location,City,Phone,P.O BOX,Companylink
"Casa De Tapas
",Dubai Creek Golf,Dubai,04-4161800,55217,/casa-de-tapas-175816.html
"Castlerock Restaurant
",Hamdan St,Abu Dhabi,02-6348345,105777,/castlerock-restaurant-115016.html
"Catch Restaurant & Lounge
","Restaurant Unit 2, Nation Riviera, Nation Towers",Abu Dhabi,02-6110909,32674,/catch-restaurant-lounge-168556.html
"Cavalli Club
","Farimont Hotel, Shk Zayed Road",Dubai,04-3329260,242656,/cavalli-club-175817.html
"Cedar Lounge
",Farimont Bab Al bahr,Abu Dhabi,02-6543223,35172,/cedar-lounge-175684.html
"Cettinad Restaurant
",Next to Abu Dhabi Flour Mill,Abu Dhabi,02-6777699,4511,/cettinad-restaurant-122707.html
"Ceviche
","Emirates Financial Towers, DIFC",Dubai,04-3266333,7789,/ceviche-175819.html
Name,Location,City,Phone,P.O BOX,Companylink
"Chicken Corner
","Al Zahara St, Nasseria",Sharjah,06-5640070,38426,/chicken-corner-148168.html
"Chicken Cottage
",Jumeirah,Dubai,04-4405994,1724,/chicken-cottage-146604.html
"Chicken Express Restaurant LLC
","Bhnd Bank Sedarat Iran, Rolla",Sharjah,06-5686969,87548,/chicken-express-restaurant-llc-151046.html
"Chicken Street Cafeteria
","Behind Mashreq Bank, Electra Street",Abu Dhabi,02-6794989,49816,/chicken-street-cafeteria-175515.html
"Chicken Tikka Inn Restaurant
",Near Qassimia R/A,Sharjah,055-4883399,3132,/chicken-tikka-inn-restaurant-138545.html
"Chicking Fried Chicken
","Century Mall, Deira",Dubai,06-5749822,27207,/chicking-fried-chicken-108096.html
"Chik Bites Restaurant & Cafe
","Damascus St,",Dubai,04-2967232,4966,/chik-bites-restaurant-cafe-175497.html
"Chin Chin
",Dubai Marina,Dubai,04-2344994,37201,/chin-chin-147396.html
Name,Location,City,Phone,P.O BOX,Companylink
"Chowking
",Al Nahda 2,Dubai,04-2382837,285849,/chowking-110151.html
"Chowking Orient Restaurant
","G-39, Al Ghurair City, Deira",Dubai,04-2288377,887,/chowking-orient-restaurant-142989.html
"Chuck Wagon Restaurant - Pearl Hotel
",Sh Rashid Palace Road,Umm Al Quwain,06-7666678,167,/chuck-wagon-restaurant-pearl-hotel-15872.html
"Cinema New Restaurant
","SEWA Bldg, Near Sharjah Cinema, Al Mina Rd",Sharjah,06-5681006,31912,/cinema-new-restaurant-131468.html
"Cipriani
","Gate Village 10, Building 3, DIFC",Dubai,04-3470003,28490,/cipriani-175631.html
"Circo
","Inter Continental, Al Bateen",Abu Dhabi,02-6666888,32100,/circo-175686.html
"City Burger
",Bhnd Al Mariya Cinema,Abu Dhabi,02-6716788,70587,/city-burger-145579.html
Name,Location,City,Phone,P.O BOX,Companylink
"Common Grounds
",Dubai Marina,Dubai,050-4781094,44251,/common-grounds-175751.html
"Comptoir 102
",Jumeirah Beach Road,Dubai,04-3854555,32645,/comptoir-102-175752.html
Name,Location,City,Phone,P.O BOX,Companylink
"Dalchini
","Bin Suloom Bldg, Al Shaab Colony, Deira",Abu Dhabi,02-4917977,83171,/dalchini-145482.html
"Dallas Restaurant
","Near Al Safa Supermarket, Electra Street",Dubai,04-2691178,83874,/dallas-restaurant-132850.html
"Dar Al Mandi Restaurant Kitchen
",Al Ittihad Road,Abu Dhabi,02-6330066,111810,/dar-al-mandi-restaurant-kitchen-175513.html
"Dar Ward Restaurant
","Near Day to Day, Karama",Sharjah,056-8360200,205,/dar-ward-restaurant-175594.html
"Dasprakash Rest
","Bhnd Al Moosa Tower, Satwa",Dubai,06-5222411,28390,/dasprakash-rest-128989.html
"Day Fresh Restaurant
",Saadiyat Island,Dubai,04-3965595,34496,/day-fresh-restaurant-143702.html
"De La Costa
",Madinat Zayed,Abu Dhabi,04-3289488,34496,/de-la-costa-175692.html
Name,Location,City,Phone,P.O BOX,Companylink
"Desl Hut Restaurant
","Behind Grand City Mall, Al Quoz Industrial Area 4",Dubai,04-3383283,47351,/desl-hut-restaurant-175547.html
"Dhaba Restaurant
","Behind Sunrise Supermarket, Al Qusais",Dubai,050-9098139,11893,/dhaba-restaurant-175226.html
"Dhe Chef
","Bhnd KM Trdg, Abu Shagara",Sharjah,04-2611685,2998,/dhe-chef-175649.html
"Diamond City Restaurant LLC
",Mussafah 10,Abu Dhabi,055-8286907,6774,/diamond-city-restaurant-llc-145336.html
"Dibba Bakes
",Abu Shagara,Sharjah,06-5445060,39398,/dibba-bakes-175365.html
Name,Location,City,Phone,P.O BOX,Companylink
"DUO
",Jumeirah Beach Residence,Dubai,04-4233785,72127,/duo-102775.html
"Dustys
",DIFC,Dubai,04-3545435,10349,/dustys-175828.html
"DXB Grill
",Millennium Airport Hotel,Dubai,04-7028888,235071,/dxb-grill-175829.html
"Dynasty Chinese Restaurant
","Ramada Hotel, Bur Dubai",Dubai,04-3519999,29417,/dynasty-chinese-restaurant-143808.html
"E T Sushi
","Ground Floor, Jumeirah Emirates Tower Hotel, Sheikh Zyed Road",Dubai,04-3198088,65892,/e-t-sushi-149161.html
"Eagle Restaurant
","Near Abu Hail Pharmacy, Hor Al Anz, Deira",Dubai,04-2694997,115719,/eagle-restaurant-115739.html
Name,Location,City,Phone,P.O BOX,Companylink
"Em Sherif
",Downtown Dubai,Dubai,04-4243000,36247,/em-sherif-175831.html
"Ember
","Dubai Mall, Downtown Dubai",Dubai,04-4388999,3720,/ember-67699.html
"Emirates Restaurant
","Near Alico Aluminium Co, BMW Rd, Indl Area 2",Sharjah,06-5338200,123375,/emirates-restaurant-136116.html
"Emly Chilli
",Al Nahda 1,Dubai,04-2837474,20058,/emly-chilli-68504.html
"Entrecote - Al Khaleej Palace Hotel
","Near Etisalat, Maktoum St, Deira",Dubai,04-2231000,95368,/entrecote-al-khaleej-palace-hotel-111719.html
Name,Location,City,Phone,P.O BOX,Companylink
"Fantastic Fresh Food Trading LLC
",Hor Al Anz,Dubai,04-2339114,24269,/fantastic-fresh-food-trading-llc-162938.html
"Fantastico Cafe LLC
","Mazaya Centre, Sh Zayed Rd",Dubai,04-3434214,114820,/fantastico-cafe-llc-133560.html
"Fantasy Restaurant
",Deira,Dubai,04-2688288,29134,/fantasy-restaurant-135156.html
"Faragalla Cafe
",Oud Metha Road,Dubai,056-4334701,29373,/faragalla-cafe-175482.html
"Fareehan Refreshment
","Behind KM Trading, Salam Street",Abu Dhabi,02-6774447,50715,/fareehan-refreshment-175534.html
"Farhat Restaurant
",Al Qasimiah,Sharjah,055-1100954,4710,/farhat-restaurant-123527.html
"Fatah Sanobir Restaurant
","203, Dar Al Wuhaida building, Hor Al Anz, Deira",Dubai,06-5669660,45763,/mam-electrical-contracting-establishment-26245.html
"FatBurger
","Ground Floor, Mall of the Emirates",Dubai,04-2692334,115944,/fatburger-175757.html
Name,Location,City,Phone,P.O BOX,Companylink
"Fish N Chips Room, The
","Murjan Tower, Jumeirah Beach Res",Dubai,04-4270443,66413,/fish-n-chips-room-the-175629.html
"Fish World
","3rd Flr, Food Court, Burjuman Centre, Bur Dubai",Dubai,04-3514774,26570,/fish-world-126064.html
"Fishmarket - Inter-Continental Abu Dhabi
","Hotel Intercontinental Abu Dhabi, Khalidya",Abu Dhabi,02-6666888,4171,/fishmarket-inter-continental-abu-dhabi-112379.html
"Five Guys Burger
",Dubai Mall,Dubai,04-3804117,640,/five-guys-burger-175759.html
"Flame & Bake
",Next To Hollywood Magic,Abu Dhabi,600565564,116357,/flame-bake-175522.html
"Flavours - Sheraton
","Near Corniche Hospital, Corniche Rd",Abu Dhabi,02-6817747,109770,/flavours-sheraton-111955.html
"Flavours On Two
","Towers Rotana, Shk Zayed Road",Dubai,02-6773333,105912,/flavours-on-two-175836.html
"Flooka
",Dubai Marine Beach Resort,Dubai,04-3438000,237882,/flooka-175837.html
"Food & Life Global Flavours
",Bur Dubai,Dubai,04-3461111,200,/food-life-global-flavours-149738.html
"Food City Restaurant LLC
",Al Muroor,Abu Dhabi,04-3599775,36853,/food-city-restaurant-llc-143622.html
"Food Mountain Restaurant
","Behind Adnoc Petrol Station, Najda Street",Abu Dhabi,02-4488640,70886,/food-mountain-restaurant-175572.html
"Food Palace Restaurant
",Khalifa Str,Abu Dhabi,056-2090767,43383,/food-palace-restaurant-131684.html
Name,Location,City,Phone,P.O BOX,Companylink
